OPERATION,ACTIVITY,NAME,VALUE
PERLND,ATEMP,GATMP,0
PERLND,ATEMP,AIRTMP,0
PERLND,SNOW,ALBEDO,0
PERLND,SNOW,COVINX,1
PERLND,SNOW,DEWTMP,0
PERLND,SNOW,DULL,1
PERLND,SNOW,MELT,0
PERLND,SNOW,NEGHTS,0
PERLND,SNOW,PACKF,1
PERLND,SNOW,PACKI,1
PERLND,SNOW,PACKW,1
PERLND,SNOW,PACK,1
PERLND,SNOW,PAKTMP,1
PERLND,SNOW,PDEPTH,0
PERLND,SNOW,PRAIN,0
PERLND,SNOW,RAINF,1
PERLND,SNOW,RDENPF,1
PERLND,SNOW,SKYCLR,1
PERLND,SNOW,SNOCOV,1
PERLND,SNOW,SNOTMP,0
PERLND,SNOW,SNOWE,0
PERLND,SNOW,SNOWF,0
PERLND,SNOW,WYIELD,1
PERLND,SNOW,XLNMLT,1
PERLND,PWATER,AGWET,0
PERLND,PWATER,AGWLI,0
PERLND,PWATER,AGWI,0
PERLND,PWATER,AGWO,1
PERLND,PWATER,AGWS,1
PERLND,PWATER,BASET,0
PERLND,PWATER,CEPE,0
PERLND,PWATER,CEPS,1
PERLND,PWATER,GWVS,1
PERLND,PWATER,IFWI,0
PERLND,PWATER,IFWLI,0
PERLND,PWATER,IFWO,1
PERLND,PWATER,IFWS,1
PERLND,PWATER,IGWI,0
PERLND,PWATER,INFIL,0
PERLND,PWATER,IRDRAW,0
PERLND,PWATER,IRRAPP,0
PERLND,PWATER,IRRDEM,0
PERLND,PWATER,IRSHRT,0
PERLND,PWATER,LZET,0
PERLND,PWATER,LZI,0
PERLND,PWATER,LZLI,0
PERLND,PWATER,LZS,1
PERLND,PWATER,RPARM,0
PERLND,PWATER,PERC,0
PERLND,PWATER,PERO,1
PERLND,PWATER,PERS,0
PERLND,PWATER,PET,0
PERLND,PWATER,PETADJ,0
PERLND,PWATER,RZWS,0
PERLND,PWATER,SUPY,0
PERLND,PWATER,SURET,0
PERLND,PWATER,SURLI,0
PERLND,PWATER,SURI,0
PERLND,PWATER,SURO,1
PERLND,PWATER,SURS,1
PERLND,PWATER,TAET,0
PERLND,PWATER,TGWS,0
PERLND,PWATER,UZET,0
PERLND,PWATER,UZI,0
PERLND,PWATER,UZLI,0
PERLND,PWATER,UZS,1
PERLND,PWATER,INFFAC,0
PERLND,SEDMNT,COVER,0
PERLND,SEDMNT,DET,0
PERLND,SEDMNT,DETS,0
PERLND,SEDMNT,NVSI,0
PERLND,SEDMNT,SCRSD,0
PERLND,SEDMNT,SOSED,0
PERLND,SEDMNT,STCAP,0
PERLND,SEDMNT,WSSD,0
PERLND,PSTEMP,AIRTC,0
PERLND,PSTEMP,LGTMP,0
PERLND,PSTEMP,SLTMP,0
PERLND,PSTEMP,ULTMP,0
PERLND,PWTGAS,AOCO2,0
PERLND,PWTGAS,AOCO2M,0
