HDF_TABLE,REQ_HSPF_BLOCK,REQ_HSPF_TABLE
/IMPLND/ATEMP/PARAMETERS,IMPLND,ATEMP-DAT
/IMPLND/IQUAL/PARAMETERS,IMPLND,LAT-FACTOR
/IMPLND/IWATER/PARAMETERS,IMPLND,IWAT-PARM1
/IMPLND/IWATER/PARAMETERS,IMPLND,IWAT-PARM3
/IMPLND/IWTGAS/PARAMETERS,IMPLND,IWT-PARM1
/IMPLND/IWTGAS/PARAMETERS,IMPLND,LAT-FACTOR
/IMPLND/IWTGAS/STATES,IMPLND,IWT-INIT
/IMPLND/SNOW/FLAGS,IMPLND,SNOW-FLAGS
/IMPLND/SNOW/STATES,IMPLND,SNOW-INIT1
/IMPLND/SOLIDS/PARAMETERS,IMPLND,SLD-PARM1
/PERLND/ATEMP/PARAMETERS,PERLND,ATEMP-DAT
/PERLND/PSTEMP/PARAMETERS,PERLND,PSTEMP-PARM1
/PERLND/PSTEMP/PARAMETERS,PERLND,PSTEMP-TEMPS
/PERLND/PWATER/PARAMETERS,PERLND,CROP-DATES
/PERLND/PWATER/PARAMETERS,PERLND,IRRIG-PARM1
/PERLND/PWATER/PARAMETERS,PERLND,IRRIG-PARM2
/PERLND/PWATER/PARAMETERS,PERLND,IRRIG-SCHED
/PERLND/PWATER/PARAMETERS,PERLND,IRRIG-SOURCE
/PERLND/PWATER/PARAMETERS,PERLND,IRRIG-TARGET
/PERLND/PWATER/PARAMETERS,PERLND,PWAT-PARM3
/PERLND/PWATER/PARAMETERS,PERLND,PWAT-PARM5
/PERLND/PWATER/PARAMETERS,PERLND,PWAT-PARM6
/PERLND/PWATER/PARAMETERS,PERLND,PWAT-PARM7
/PERLND/PWATER/PARAMETERS,PERLND,SOIL-DATA2
/PERLND/PWATER/PARAMETERS,PERLND,SOIL-DATA3
/PERLND/PWTGAS/PARAMETERS,PERLND,LAT-FACTOR
/PERLND/PWTGAS/PARAMETERS,PERLND,PWT-GASES
/PERLND/PWTGAS/PARAMETERS,PERLND,PWT-PARM1
/PERLND/PWTGAS/PARAMETERS,PERLND,PWT-TEMPS
/PERLND/SNOW/FLAGS,PERLND,SNOW-FLAGS
/PERLND/SNOW/STATES,PERLND,SNOW-INIT1
/RCHRES/ACIDPH/STATES,RCHRES,ACID-INIT
/RCHRES/GQUAL/EXTENDEDS/DEL,RCHRES,GQ-DELTA
/RCHRES/GQUAL/EXTENDEDS/GAMM,RCHRES,GQ-GAMMA
/RCHRES/GQUAL/EXTENDEDS/KCLD,RCHRES,GQ-CLDFACT
/RCHRES/GQUAL/EXTENDEDS/PHOTPM,RCHRES,GQ-PHOTPM
/RCHRES/GQUAL/FLAGS,RCHRES,GQ-AD-FLAGS
/RCHRES/GQUAL/GQUAL1,RCHRES,GQ-VALUES
/RCHRES/GQUAL/GQUAL1,RCHRES,GQ-ADTHETA
/RCHRES/GQUAL/GQUAL1,RCHRES,GQ-FLG2
/RCHRES/GQUAL/GQUAL1,RCHRES,GQ-QALFG
/RCHRES/GQUAL/GQUAL1,RCHRES,GQ-SEDCONC
