HSPF_BLOCK,HSPF_TABLE,PARAMETER_NAME,TYPE,START,STOP,DEFAULT_TEXT,DEFAULT_METR,MIN_METR,MAX_METR,DEFAULT_ENGL,MIN_ENGL,MAX_ENGL,VALID,PARAMETER_HELP
BMPRAC,ACID-FLAG,OPNID,int,0,5,,,1,,,1,,,*** BMPRAC to which these data apply.
BMPRAC,ACID-FLAG,OPNIDLAST,int,5,10,,,1,,,1,,,*** BMPRAC to which these data apply.
BMPRAC,ACID-FLAG,NACID,int,10,15,,0,0,7,0,0,7,,*** Number of chemicals used in acid mine drainage section ACIDPH.
BMPRAC,ACID-FLAG,ACIFFG1,int,15,20,,0,0,999,0,0,999,,"*** Value of 0 indicates that the BMP removal factor for acid mine chemical
*** #1 is constant, given in ACID-FRAC. A value greater than 0 indicates the
*** index number of the MONTH-DATA block to be used to specify the monthly
*** removal factors."
BMPRAC,ACID-FLAG,ACIFFG2,int,20,25,,0,0,999,0,0,999,,"*** Value of 0 indicates that the BMP removal factor for acid mine chemical
*** #2 is constant, given in ACID-FRAC. A value greater than 0 indicates the
*** index number of the MONTH-DATA block to be used to specify the monthly
*** removal factors."
BMPRAC,ACID-FLAG,ACIFFG3,int,25,30,,0,0,999,0,0,999,,"*** Value of 0 indicates that the BMP removal factor for acid mine chemical
*** #3 is constant, given in ACID-FRAC. A value greater than 0 indicates the
*** index number of the MONTH-DATA block to be used to specify the monthly
*** removal factors."
BMPRAC,ACID-FLAG,ACIFFG4,int,30,35,,0,0,999,0,0,999,,"*** Value of 0 indicates that the BMP removal factor for acid mine chemical
*** #4 is constant, given in ACID-FRAC. A value greater than 0 indicates the
*** index number of the MONTH-DATA block to be used to specify the monthly
*** removal factors."
BMPRAC,ACID-FLAG,ACIFFG5,int,35,40,,0,0,999,0,0,999,,"*** Value of 0 indicates that the BMP removal factor for acid mine chemical
*** #5 is constant, given in ACID-FRAC. A value greater than 0 indicates the
*** index number of the MONTH-DATA block to be used to specify the monthly
*** removal factors."
BMPRAC,ACID-FLAG,ACIFFG6,int,40,45,,0,0,999,0,0,999,,"*** Value of 0 indicates that the BMP removal factor for acid mine chemical
*** #6 is constant, given in ACID-FRAC. A value greater than 0 indicates the
*** index number of the MONTH-DATA block to be used to specify the monthly
*** removal factors."
BMPRAC,ACID-FLAG,ACIFFG7,int,45,50,,0,0,999,0,0,999,,"*** Value of 0 indicates that the BMP removal factor for acid mine chemical
*** #7 is constant, given in ACID-FRAC. A value greater than 0 indicates the
*** index number of the MONTH-DATA block to be used to specify the monthly
*** removal factors."
BMPRAC,ACID-FRAC,OPNID,int,0,5,,,1,,,1,,,*** BMPRAC to which these data apply.
BMPRAC,ACID-FRAC,OPNIDLAST,int,5,10,,,1,,,1,,,*** BMPRAC to which these data apply.
BMPRAC,ACID-FRAC,ACIFRC1,float,10,20,,0,0,1,0,0,1,,*** ACIFRC(1) is the BMP removal fraction for acid mine chemical #1.
BMPRAC,ACID-FRAC,ACIFRC2,float,20,30,,0,0,1,0,0,1,,*** ACIFRC(2) is the BMP removal fraction for acid mine chemical #2.
BMPRAC,ACID-FRAC,ACIFRC3,float,30,40,,0,0,1,0,0,1,,*** ACIFRC(3) is the BMP removal fraction for acid mine chemical #3.
BMPRAC,ACID-FRAC,ACIFRC4,float,40,50,,0,0,1,0,0,1,,*** ACIFRC(4) is the BMP removal fraction for acid mine chemical #4.
BMPRAC,ACID-FRAC,ACIFRC5,float,50,60,,0,0,1,0,0,1,,*** ACIFRC(5) is the BMP removal fraction for acid mine chemical #5.
BMPRAC,ACID-FRAC,ACIFRC6,float,60,70,,0,0,1,0,0,1,,*** ACIFRC(6) is the BMP removal fraction for acid mine chemical #6.
BMPRAC,ACID-FRAC,ACIFRC7,float,70,80,,0,0,1,0,0,1,,*** ACIFRC(7) is the BMP removal fraction for acid mine chemical #7.
BMPRAC,ADSNUT-FRAC,OPNID,int,0,5,,,1,,,1,,,*** BMPRAC to which these data apply.
BMPRAC,ADSNUT-FRAC,OPNIDLAST,int,5,10,,,1,,,1,,,*** BMPRAC to which these data apply.
BMPRAC,ADSNUT-FRAC,SNUFRC1,float,10,20,,0,0,1,0,0,1,,*** SNUFRC(1) is the BMP removal fraction for ammonia adsorbed to sand.
BMPRAC,ADSNUT-FRAC,SNUFRC2,float,20,30,,0,0,1,0,0,1,,*** SNUFRC(2) is the BMP removal fraction for ammonia adsorbed to silt.
BMPRAC,ADSNUT-FRAC,SNUFRC3,float,30,40,,0,0,1,0,0,1,,*** SNUFRC(3) is the BMP removal fraction for ammonia adsorbed to clay.
BMPRAC,ADSNUT-FRAC,SNUFRC4,float,40,50,,0,0,1,0,0,1,,"*** SNUFRC(4) is the BMP removal fraction for phosphate adsorbed to
*** sand."
