HSPF_BLOCK,HSPF_TABLE,HSPF_TABLE_EXT,HDF_TABLE,TEMPLATE,HSPF_MANUAL_SORT_ORDER,TABLE_HEADER,TABLE_HELP
BMPRAC,ACID-FLAG,ACID-FLAG,/BMPRAC/ACID/FLAGS,GEN-INFO,410,"*** BMPRAC  Num       Monthly variable flags
*** x -  x Chem ACI1 ACI2 ACI3 ACI4 ACI5 ACI6 ACI7",*** Acid mine drainage components flags.
BMPRAC,ACID-FRAC,ACID-FRAC,/BMPRAC/ACID/PARAMETERS,GEN-INFO,411,"    BMPRAC***                        Removal fractions
*** x -  x      ACI1      ACI2      ACI3      ACI4      ACI5      ACI6      ACI7",*** Removal fractions for acid mine drainage chemicals
BMPRAC,ADSNUT-FRAC,ADSNUT-FRAC,/BMPRAC/ADSNUT/PARAMETERS,GEN-INFO,405,"***                             Removal fractions
*** BMPRAC              Ammonia                     Phosphate
*** x -  x      Sand      Silt      Clay      Sand      Silt      Clay",*** Removal fractions for adsorbed nutrients.
BMPRAC,BINARY-INFO,BINARY-INFO,/BMPRAC/GENERAL/BINOUT,GEN-INFO,390,"*** BMPRAC  Binary Output level flags
*** x -  x FLOW CONS HEAT  SED   GQ  OXY  NUT PLNK   PH PIVL  PYR","*** Table of binary output level flags for BMPRAC. HSPF permits the user
*** to vary the output level (maximum frequency) for the various active
*** sections of an operation. 2 means every PIVL intervals, 3 means
*** every day, 4 means every month, 5 means every year, 6 means never."
BMPRAC,CONS-FLAG,CONS-FLAG,/BMPRAC/CONS/FLAGS,GEN-INFO,393,"*** BMPRAC            Monthly variable flags
*** x -  x  C1F  C2F  C3F  C4F  C5F  C6F  C7F  C8F  C9F C10F",*** Conservative constituent flags.
BMPRAC,CONS-FRAC,CONS-FRAC,/BMPRAC/CONS/PARAMETERS,GEN-INFO,394,"*** BMPRAC        Name           Units  Removal fraction
*** x -  x<-------CONID------>  <CQTYID>    CONFRC",*** Name and removal fraction for one conservative substance.
BMPRAC,DNUT-FRAC,DNUT-FRAC,/BMPRAC/DNUT/PARAMETERS,GEN-INFO,404,"*** BMPRAC               Removal fractions
*** x -  x       NO3       TAM       NO2       PO4",*** Removal fractions for dissolved nutrients.
BMPRAC,FLOW-FLAG,FLOW-FLAG,/BMPRAC/FLOW/FLAGS,GEN-INFO,391,"*** BMPRAC Monthly variable flag
*** x -  x VOLF",*** Flow flags.
BMPRAC,FLOW-FRAC,FLOW-FRAC,/BMPRAC/FLOW/FLAGS,GEN-INFO,392,"*** BMPRAC Removal fraction
*** x -  x    VOLFRC",*** Removal fraction for flow.
BMPRAC,GEN-INFO,GEN-INFO,/BMPRAC/GENERAL/INFO,,389,"***              Name           BMP             Unit Systems   Printer
*** BMPRAC                     Type NCON  NGQ      t-series  Engl Metr
*** x -  x<------------------>                      in  out",*** General information for BMPRAC.
