OPERATION,TABLE,RENAME,LENGTH
IMPLND,MON-ACCUM,ACQOP,1
IMPLND,MON-AWTF,AWTF,1
IMPLND,MON-BWTF,BWTF,1
IMPLND,MON-MANNING,NSUR,1
IMPLND,MON-MELT-FAC,KMELT,1
IMPLND,MON-POTFW,POTFW,1
IMPLND,MON-REMOV,REMSDP,1
IMPLND,MON-RETN,RETSC,1
IMPLND,MON-SACCUM,ACCSDP,1
IMPLND,MON-SQOLIM,SQOLIM,1
PERLND,MON-ACCUM,ACQOP,1
PERLND,MON-ASLT,ASLT,1
PERLND,MON-BSLT,BSLT,1
PERLND,MON-COVER,COVER,1
PERLND,MON-GRND-CONC,AOQC,1
PERLND,MON-GRNDCO2,ACO2P,1
PERLND,MON-GRNDDOX,ADOXP,1
PERLND,MON-IFLW-CONC,IOQC,1
PERLND,MON-IFWCO2,ICO2P,1
PERLND,MON-IFWDOX,IDOXP,1
PERLND,MON-INTERCEP,CEPSC,1
PERLND,MON-INTERFLW,INTFW,1
PERLND,MON-IRC,IRC,1
PERLND,MON-IRR-AWD,IRAWD,1
PERLND,MON-IRR-CRDP,CRDEP,1
PERLND,MON-LGTP1,LGTP1,1
PERLND,MON-LGTP2,LGTP2,1
PERLND,MON-LZETPARM,LZETP,1
PERLND,MON-MANNING,NSUR,1
PERLND,MON-MELT-FAC,KMELT,1
PERLND,MON-NITAGUTF,ANUTF,1
PERLND,MON-NITIMAM,KIMAM,1
PERLND,MON-NITIMNI,KIMNI,1
PERLND,MON-NITUPAM,KUPAM,1
PERLND,MON-NITUPNI,KUPNI,1
PERLND,MON-NITUPT,KPLN,1
PERLND,MON-NPRETAG,AGKPRN,1
PERLND,MON-NPRETBG,KPRBN,1
PERLND,MON-NPRETFBG,BGNPRF,1
PERLND,MON-NPRETFLI,LINPRF,1
PERLND,MON-NPRETLI,KPRLN,1
PERLND,MON-NUPT-FR1,TNU,1
PERLND,MON-NUPT-FR2,LNU,1
PERLND,MON-NVSI,NVSI,1
PERLND,MON-PHOSUPT,KPLP,1
PERLND,MON-POTFS,POTFS,1
PERLND,MON-POTFW,POTFW,1
PERLND,MON-PUPT-FR1,TUP,1
PERLND,MON-PUPT-FR2,LPU,1
PERLND,MON-SQOLIM,SQOLIM,1
PERLND,MON-ULTP1,ULTP1,1
PERLND,MON-ULTP2,ULTP2,1
PERLND,MON-UZSN,UZSN,1
RCHRES,ACID-FLAGS,AC,14
RCHRES,GQ-ALPHA,ALPH,18
RCHRES,GQ-CLDFACT,KCLD,18
RCHRES,GQ-DAUGHTER,CF,49
RCHRES,GQ-DELTA,DEL,18
RCHRES,GQ-GAMMA,GAMM,18
RCHRES,GQ-PHOTPM,PHOTPM,20
RCHRES,HT-BED-DELH,DELH,100
RCHRES,HT-BED-DELTT,DELTT,100
RCHRES,MON-BINV,BINVM,1
RCHRES,MON-BIO,BIOM,1
RCHRES,MON-CLOUD,CLDM,1
RCHRES,MON-CONVF,CONVF,1
RCHRES,MON-HT-TGRND,TGRND,1
RCHRES,MON-PHVAL,PHVA,1
RCHRES,MON-PHYTO,PHYM,1
RCHRES,MON-ROXYGEN,ROCM,1
RCHRES,MON-SEDCONC,SDCN,1
RCHRES,MON-WATEMP,TEMP,1
